gmfTag	group	isoFieldId
PymtType	-	3.1.1
ReversalInd	-	3.1.2
TxnType	-	3.1.3
LocalDateTime	-	3.1.4
TrnmsnDateTime	-	3.1.5
STAN	-	3.1.6
RefNum	-	3.1.7
OrderNum	-	3.1.8
TPPID	-	3.1.9
TermID	-	3.1.10
MerchID	-	3.1.11
AltMerchID	-	3.1.12
MerchCatCode	-	3.1.13
POSEntryMode	-	3.1.14
POSCondCode	-	3.1.15
TermCatCode	-	3.1.16
TermEntryCapablt	-	3.1.17
TxnAmt	-	3.1.18
TxnCrncy	-	3.1.19
TermLocInd	-	3.1.20
CardCaptCap	-	3.1.21
ProgramID	-	3.1.22
GroupID	-	3.1.23
POSID	-	3.1.24
SettleInd	-	3.1.25
ClerkID	-	3.1.26
SupID	-	3.1.27
SENum	-	3.1.28
PLPOSDebitFlg	-	3.1.29
UPC	-	3.1.30
NetAccInd	-	3.1.31
MerchEcho	-	3.1.32
WltID	-	3.1.33
NonUSMerch	-	3.1.34
DevBatchID	-	3.1.35
DigWltInd	-	3.1.36
DigWltProgType	-	3.1.37
TranInit	-	3.1.38
PymntSvc	-	3.1.39
MerchCustom1	-	3.1.40
RefundType	-	3.1.41
CustomerId	-	3.1.42
RtFallbackInd	-	3.1.43
DfrdAuthInd	-	3.1.44
SSC	-	3.1.45
SingleTapInd	-	3.1.46
DupATCInd	-	3.1.47
BusPymtType	-	3.1.48
TermClassCode	-	3.1.49
MerchCtryOfOrigin	-	3.1.50
UUID	-	3.1.51
PlanRegSysId	-	3.1.52
AgreementID	-	3.1.53
DelChargeInd	-	3.1.54
NoShowInd	-	3.1.55
RateTableID	-	3.1.56
XchgRate	-	3.1.57
PrstFXEligInd	-	3.1.58
CnvDate	-	3.1.59
IssuerTraceData	-	3.1.60
MerchPymtGtwyID	-	3.1.61
DigComProgType	-	3.1.62
DigComChkInEntTypeNm	-	3.1.63
DigComChkInMthd	-	3.1.64
AltNetTranID	-	3.1.65
EnablerVerVal	-	3.1.66
AcctTypeID	-	3.1.67
DigComDomainID	-	3.1.68
MCRInd	-	3.1.69
TxnLinkID	-	3.1.70
ExtdAuthInd	-	3.1.71
AcctNum	-	3.2.1
CardExpiryDate	-	3.2.2
CardType	-	3.2.3
AVSResultCode	-	3.2.4
CCVInd	-	3.2.5
CCVData	-	3.2.6
CCVResultCode	-	3.2.7
MVVMAID	-	3.2.8
InfoReqInd	-	3.2.9
FndAcctNum	-	3.2.10
PymtAcctRefReqInd	-	3.2.11
PymtAcctRef	-	3.2.12
ALMSvcCode	-	3.2.13
ALMProdCode	-	3.2.14
ALMProdClass	-	3.2.15
ALMRateType	-	3.2.16
AddAmt	-	3.3.1
AddAmtCrncy	-	3.3.2
AddAmtType	-	3.3.3
AddAmtAcctType	-	3.3.4
PartAuthrztnApprvlCapablt	-	3.3.5
BalRetCapablt	-	3.3.6
MerchName	-	4.1.1
MerchAddr	-	4.1.2
MerchCity	-	4.1.3
MerchState	-	4.1.4
MerchCnty	-	4.1.5
MerchPostalCode	-	4.1.6
MerchCtry	-	4.1.7
MerchEmail	-	4.1.8
MerchSvcLocCity	-	4.1.9
MerchSvcLocState	-	4.1.10
MerchSvcLocPostalCode	-	4.1.11
MerchSvcLocCtry	-	4.1.12
IntegratorID	-	5.1.1
MerchCustom2	-	5.1.2
MerchCustom3	-	5.1.3
MerchCustom4	-	5.1.4
MerchCustom5	-	5.1.5
RespCode	-	6.1.1
AuthID	-	6.1.2
ResponseDate	-	6.1.3
AddtlRespData	-	6.1.4
SttlmDate	-	6.1.5
AthNtwkID	-	6.1.6
AthNtwkNm	-	6.1.7
RtInd	-	6.1.8
SigInd	-	6.1.9
ErrorData	-	6.1.10
DebitTraceNum	-	6.1.11
SettlementTxnType	-	6.1.12
AssocRespCode	-	6.1.13
CategoryCode	-	6.1.14
ApprProbabInd	-	6.1.15
ReasonCode	-	6.1.16
MaxProcDate	-	6.1.17
IssBank	-	7.1.1
IssCtryCode	-	7.1.2
CardBrnd	-	7.1.3
CardInd	-	7.1.4
DetProdID	-	7.1.5
OrigAuthID	-	8.1.1
